GERAÇÃO 54:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 55:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 56:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 57:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 58:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 59:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 60:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 61:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 62:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 63:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 64:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 65:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 66:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 67:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 68:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 69:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 70:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 71:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 72:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 73:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 74:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 75:  (a = 3.191442, b = -5.700000)   | ERRO: 0.038511   | MELHOR FITNESS: 0.962917
GERAÇÃO 76:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 77:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 78:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 79:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 80:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 81:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 82:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 83:  (a = 3.191442, b = -5.688361)   | ERRO: 0.029816   | MELHOR FITNESS: 0.971047
GERAÇÃO 84:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 85:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 86:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 87:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 88:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 89:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 90:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 91:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 92:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 93:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 94:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 95:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 96:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 97:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 98:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 99:  (a = 3.191442, b = -5.688329)   | ERRO: 0.029797   | MELHOR FITNESS: 0.971065
GERAÇÃO 100:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 101:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 102:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 103:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 104:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 105:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 106:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 107:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 108:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 109:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 110:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 111:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 112:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 113:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 114:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 115:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 116:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 117:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 118:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 119:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 120:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 121:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 122:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
